iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SY,107,106,107,97,94,112,107,116,141,110,115,159,213,195,137,36,25,16,6,11,59,16,18,25
TW,1392,1252,1237,1448,1285,1357,1386,1618,1660,1688,1575,1355,1243,2128,2052,1701,1864,1818,1971,2370,2400,2860,3095,2935
TJ,12,12,12,16,17,15,18,20,27,35,32,51,9,8,16,11,9,7,4,1,11,6,12,7
TZ,104,88,89,87,99,94,92,103,109,123,125,164,179,207,334,325,273,286,286,211,192,168,165,136
TH,1136,643,713,799,835,759,897,986,926,889,879,1039,1215,1404,1761,2407,2582,2118,2003,1758,2181,2566,2289,2036
BS,104,103,111,115,110,165,151,190,237,289,289,217,268,328,220,216,237,223,177,184,227,158,271,179
GM,32,26,28,27,35,32,34,32,34,35,34,32,29,25,36,45,30,28,24,25,36,58,182,163
TG,19,28,29,30,44,38,61,42,143,207,57,63,32,36,143,367,142,218,65,272,162,115,65,91
TK,0,0,0,0,7,14,22,9,30,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,3,0,0,0,1,0,0,0,1,1,0,0,8,8,8,1,4,0,1,0,1,0,1,0
TT,149,136,189,125,154,140,171,176,208,215,259,310,329,284,293,311,443,401,330,322,295,250,236,296
TN,132,129,131,170,174,170,195,206,200,200,185,344,411,447,409,395,304,293,253,259,227,225,268,222
TR,2235,2078,1786,2442,1809,1879,2267,2490,2878,3281,3515,3591,3727,4659,5424,5163,5783,5130,5446,6067,7740,6581,7168,5881
TM,12,15,10,18,13,14,15,19,24,28,29,38,36,61,89,156,133,135,65,52,44,35,23,26
TC,10,10,8,11,12,14,16,17,25,26,32,14,21,13,9,16,15,13,9,12,6,9,10,14
TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UG,77,76,63,68,68,69,74,76,78,87,90,113,158,159,188,203,96,100,97,256,116,169,157,166
UA,180,189,167,225,223,376,368,253,368,438,770,861,923,764,878,821,764,548,455,577,627,714,803,612
AE,1905,1912,1969,2110,2144,2232,2764,3607,6571,4777,4355,5577,6020,6926,7563,8514,10069,9320,9518,10891,11129,10882,11519,7917
US,38106,39891,44015,50959,51908,51823,53901,56029,60074,66492,69116,73879,70811,75319,85340,88115,93146,94379,102657,110856,118500,128478,145082,127943
UY,84,77,69,66,53,30,87,34,42,41,37,71,63,109,154,137,187,152,297,149,209,161,166,127
UM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4
VI,13,22,8,6,4,6,18,10,9,9,12,8,6,8,93,7,9,4,5,4,20,21,51,32
UZ,51,40,36,22,27,19,24,25,25,33,43,43,51,66,66,74,69,59,45,65,74,94,72,76
VU,0,0,0,0,0,0,0,0,0,0,0,4,4,10,8,0,0,0,0,0,0,7,0,2
VA,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,26,0,0,0,4,6,1,1,0
VE,285,314,284,303,404,318,229,278,335,326,331,350,401,389,433,539,490,421,387,233,189,177,126,96
VN,108,105,124,133,139,118,145,160,145,180,252,276,452,476,522,472,457,481,574,725,805,947,943,847
WF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YE,95,98,85,76,96,97,107,102,100,103,127,124,124,106,84,113,162,122,49,49,61,59,72,38
ZM,72,60,51,57,58,53,60,63,71,81,80,86,112,182,180,153,156,142,158,125,99,122,118,137
ZW,124,104,99,68,67,65,65,61,59,61,63,50,78,76,146,168,121,125,105,141,250,282,79,140
