iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GH,95,107,106,111,130,132,144,136,156,173,168,159,485,331,386,662,303,368,596,696,331,286,257,227
GI,110,101,114,119,125,160,202,214,250,288,384,530,700,407,714,1222,1260,1352,1520,1474,2211,2420,3695,2797
GL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,11,13,11,10
GD,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,4,4,4,4,2,20,19
GU,0,0,0,0,0,0,0,0,0,0,0,0,4,11,11,78,0,0,4,8,13,8,8,9
GT,4,4,4,4,4,7,8,8,12,13,16,12,12,12,12,12,12,12,10,11,16,9,37,35
GG,269,247,277,291,302,387,492,518,604,699,932,1127,1017,943,875,995,1241,1333,3081,3342,2654,2900,2605,2059
GN,8,8,8,8,10,10,12,11,12,13,13,21,33,27,35,137,48,59,32,29,49,30,28,34
GW,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
GY,12,12,12,13,8,9,12,6,12,14,12,14,21,21,14,37,33,38,42,64,86,222,419,497
HT,0,0,0,0,0,0,0,2,4,4,4,5,4,6,8,4,2,0,4,3,1,2,4,8
HM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,4,4,4,4,4,4,4,4,8,8,8,8,16,8,8,8,4,4,4,7,6,4,12,11
HK,1079,1110,1193,1224,1258,1228,1366,1367,1659,1647,1560,1930,1541,1875,1954,2108,2449,2567,3143,3744,4293,4548,4839,4482
IS,11,11,12,73,68,79,97,110,119,127,153,192,129,138,134,217,169,182,216,289,430,406,378,154
IN,505,553,589,645,774,753,904,1210,1434,1892,1706,1842,1825,2412,2244,2179,2509,2661,2968,2689,2535,4121,4373,3894
ID,128,121,128,144,165,149,179,202,211,239,205,205,219,290,294,408,376,486,520,521,685,721,750,763
9A,22,28,33,36,39,41,49,2,70,6,91,98,142,102,121,111,28,52,82,130,160,173,171,146
IR,75,78,76,134,143,162,195,212,245,283,152,252,191,148,136,160,104,95,108,135,163,136,89,73
IQ,94,98,101,112,117,130,137,176,199,220,320,497,424,504,660,521,524,496,440,250,245,188,222,142
IM,117,107,120,126,130,167,214,223,261,302,402,268,273,232,158,127,282,303,542,643,552,659,473,650
IL,467,496,518,509,565,503,416,462,606,493,562,528,666,605,850,752,697,762,1015,1044,1097,1387,1530,1043
CI,25,28,27,28,33,34,37,34,40,43,43,90,111,58,59,100,36,44,99,245,194,52,166,68
JM,17,13,16,19,19,21,24,29,41,45,55,51,67,52,70,41,43,41,109,56,41,65,34,24
JP,2951,2940,3323,3765,4053,4056,4048,4367,4651,4759,3802,3709,4346,3966,4469,3993,4404,5047,5159,5598,5526,6247,6036,6033
JE,929,860,960,1009,1051,1347,1706,1798,2099,2422,3232,3912,3507,3282,3014,3380,4227,4539,2290,2513,2488,1886,2536,2785
JO,33,39,41,49,56,48,47,51,74,65,92,105,125,123,143,116,296,262,176,243,195,146,192,204
KZ,334,365,385,457,510,438,501,549,682,904,895,764,759,549,593,702,830,756,644,2086,1619,1578,1600,626
KE,99,111,108,115,133,136,148,140,161,178,173,194,260,325,328,425,285,344,291,474,308,376,323,235
KI,0,0,0,0,0,0,0,0,3,2,3,0,4,5,7,0,3,0,0,0,0,0,0,0
XK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KW,177,184,191,209,222,243,256,334,376,414,599,609,768,592,663,708,973,921,1063,1359,1828,1932,2093,1463
KG,0,0,0,0,0,0,0,0,3,4,4,4,16,7,11,8,24,22,8,19,11,9,12,4
LA,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,0,0,16,4,3,10,12,2
LB,26,30,32,38,43,38,36,40,58,50,71,71,102,126,108,131,326,287,193,195,247,314,347,247
LS,4,4,4,4,4,5,5,6,8,8,8,11,12,8,7,6,4,4,4,8,3,4,4,5
LR,8,8,8,8,10,10,12,11,12,13,13,31,16,40,70,29,28,36,22,28,17,51,42,27
LY,53,58,57,89,73,82,117,127,148,172,185,192,404,543,381,279,169,156,103,79,88,79,92,49
LI,0,0,0,0,0,2,3,11,10,10,185,63,65,46,53,53,26,29,71,87,99,86,43,96
MO,3,4,4,4,4,4,4,4,4,5,5,4,8,13,18,20,20,18,109,32,24,31,27,21
MG,12,13,12,13,16,16,17,16,19,21,19,27,33,36,30,21,24,31,12,11,18,12,13,6
MW,19,21,21,22,26,27,29,28,32,35,34,31,44,56,24,56,8,9,16,25,31,17,23,38
MY,583,592,521,504,476,473,511,629,590,666,582,632,727,850,906,1019,1175,1155,1295,1399,1351,1253,1353,1054
MV,4,4,4,5,8,5,8,8,8,12,12,8,12,8,13,15,20,20,12,11,10,15,13,8
ML,9,12,12,12,13,14,16,14,16,18,17,25,26,20,19,14,37,45,21,11,27,26,43,22
MH,4,4,4,4,4,4,4,4,5,4,6,5,26,80,96,48,42,24,57,78,63,104,105,120
MR,8,9,8,9,12,12,12,12,13,16,14,17,16,13,23,26,36,45,12,15,38,11,28,10
MU,62,71,69,73,85,87,94,90,104,114,111,143,234,389,419,512,298,360,305,262,355,389,354,427
MX,163,184,194,245,248,269,310,358,345,386,450,424,491,517,575,569,749,773,858,922,959,906,1103,928
FM,0,0,0,0,0,0,0,0,0,0,0,0,4,15,4,0,0,0,0,0,0,0,0,0
MD,4,4,4,4,4,4,4,6,8,8,11,20,12,13,15,12,24,26,37,15,14,8,13,15
MN,1,3,4,4,4,4,4,4,4,4,4,5,8,11,11,26,23,21,32,15,16,17,124,421
ME,0,0,0,6,0,0,0,0,0,0,27,12,23,67,117,168,14,0,3,8,3,10,3,0
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
MA,38,49,57,57,71,69,25,89,27,129,143,106,135,140,174,241,238,252,212,235,301,235,316,198
MZ,42,48,47,49,57,59,63,61,69,76,75,71,128,526,159,111,222,268,285,100,97,130,180,403
MM,0,0,0,3,4,1,4,4,4,4,4,4,4,5,7,8,126,114,144,87,96,75,154,127
NA,21,25,25,26,29,31,33,31,36,41,39,37,39,44,55,41,28,32,82,64,13,61,15,20
NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP,7,8,8,8,9,8,9,11,13,17,17,9,16,24,34,45,50,46,91,68,69,17,205,39
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,8
NZ,342,367,401,373,311,286,338,400,427,429,405,379,436,466,455,534,533,579,576,622,579,777,651,502
NI,0,0,0,0,0,0,0,0,4,4,4,4,18,12,12,17,15,13,20,26,8,4,20,9
NE,0,0,0,0,0,0,0,0,0,0,0,4,8,35,28,25,20,25,12,15,19,20,4,2
NG,177,204,201,210,209,267,250,291,306,370,1358,1524,1544,1357,1614,1655,1371,1312,1615,1138,1074,1030,1087,628
NU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,4,4,4,4,4,4,4,4,8,8,8,18,15,8,12,13,27,24,8,5,8,20,16,10
MK,13,12,14,15,16,20,25,26,30,35,47,24,20,19,36,28,46,48,133,232,116,161,178,67
MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NO,929,1008,1069,1002,958,1299,1310,1497,1738,1927,2462,2302,2595,2876,2818,3344,3778,3647,3048,3085,3206,3392,3762,3440
PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,11,12,4,14
OM,34,36,36,41,43,48,50,64,72,81,117,155,183,200,227,231,295,280,337,1089,1592,508,536,409
PK,253,282,303,169,287,194,215,267,559,491,405,414,344,364,378,446,425,469,481,545,537,509,516,297
PW,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0
PA,17,14,16,19,19,22,24,29,41,45,55,45,102,179,192,126,129,119,113,124,105,83,143,77
PG,15,17,17,26,21,22,26,27,32,30,32,35,128,115,119,42,226,123,23,24,32,23,21,12
