iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GH,52,52,56,64,70,94,111,114,102,120,119,116,165,123,163,201,255,266,157,391,324,257,254,165
GI,39,45,50,65,76,94,103,115,103,131,136,138,154,289,197,685,588,636,514,754,857,1269,536,471
GL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GD,11,12,13,15,15,15,18,24,20,26,26,42,41,34,68,30,75,77,0,63,23,28,0,0
GU,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,18,0,0,0
GT,2,3,3,4,4,4,4,5,4,5,5,9,21,40,17,11,4,4,64,15,6,13,36,71
GG,85,97,107,142,164,204,224,252,227,286,297,308,365,425,494,502,762,821,1489,1263,1736,1736,1852,860
GN,6,6,7,8,8,11,13,13,13,14,13,4,4,0,7,50,4,4,4,4,0,1,0,0
GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,6,6,8,8,4,4,4,0,4,1,0,0,8,5,4,4,4,5,9,2,13,9,5,2
HT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,4,4,4,4,4,4,5,7,6,7,8,4,0,6,0,6,0,0,0,8,9,3,5,3
HK,668,665,710,758,786,754,815,911,966,1019,1616,1418,1294,1380,1721,1722,1732,1804,1829,2417,2565,2777,2731,3283
IS,46,54,53,123,98,95,94,103,108,140,107,87,114,85,121,118,137,203,295,399,671,352,412,138
IN,684,727,789,812,892,966,938,1253,1469,1793,1852,2381,2606,2964,2870,2550,2590,2888,3156,3466,4093,4732,6519,5625
ID,93,101,104,113,120,127,151,50,55,102,128,122,121,121,156,208,167,226,209,271,234,276,241,155
9A,4,4,6,4,7,3,0,0,0,20,0,0,0,0,0,0,0,0,0,21,29,41,21,74
IR,13,9,10,45,46,14,50,22,20,70,22,60,63,74,34,48,36,57,48,50,47,37,58,26
IQ,40,42,47,48,56,59,70,88,100,117,146,282,294,319,362,523,316,321,204,40,38,68,108,51
IM,24,28,32,41,49,60,66,74,67,84,88,52,31,70,129,53,52,57,76,259,243,250,293,582
IL,205,221,233,256,227,176,204,218,234,242,315,319,293,341,378,391,513,417,509,474,555,677,741,702
CI,4,4,4,4,5,8,9,9,8,9,9,13,18,11,8,8,6,7,21,15,19,13,17,18
JM,77,81,88,108,100,101,117,165,136,179,180,257,380,258,269,285,298,306,354,363,216,335,337,220
JP,1094,1149,1148,1361,1494,1377,1534,1492,1819,2130,2194,2926,2472,2818,3328,3245,2604,3306,3426,4060,4663,5085,5432,5285
JE,339,388,435,566,658,817,900,1009,907,1149,1192,1229,1461,1705,1979,2007,3047,3287,2804,2424,2613,3075,3328,3284
JO,5,5,8,13,12,16,13,13,13,19,26,58,53,61,66,50,51,42,28,42,59,43,54,52
KZ,164,178,200,228,219,252,292,423,358,445,383,346,301,134,197,182,94,83,94,131,155,180,125,111
KE,97,98,107,118,129,173,205,215,190,223,221,153,330,233,216,335,293,306,212,368,321,283,294,190
KI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,32
XK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KW,57,58,69,67,80,83,102,126,140,165,206,268,169,322,95,69,88,91,34,38,79,73,102,69
KG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,1,5,4,1,10,0
LA,0,0,0,0,0,0,1,4,4,4,4,8,6,8,8,0,0,0,12,9,6,1,0,0
LB,7,8,8,14,13,17,13,14,15,22,31,22,39,79,96,81,149,125,135,183,147,165,136,97
LS,0,0,0,0,0,2,4,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LR,0,0,0,0,0,0,1,1,0,1,1,4,4,4,4,4,0,0,0,0,2,28,8,0
LY,34,37,42,59,56,48,44,58,68,49,64,101,129,154,109,98,55,52,33,12,17,15,12,17
LI,0,0,0,0,0,0,0,0,0,0,151,57,38,10,20,0,0,0,21,37,63,30,7,14
MO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4,4,13,6,7,3,1
MG,4,4,5,5,6,9,10,11,9,11,12,22,19,8,21,4,13,13,4,50,0,1,1,0
MW,4,4,4,4,4,7,8,8,8,9,8,33,29,13,10,8,23,25,35,20,45,23,16,11
MY,254,286,305,350,332,333,289,354,424,484,377,392,525,488,418,348,395,512,454,631,393,447,414,418
MV,49,53,60,69,67,77,89,128,108,135,115,121,175,113,141,160,154,135,88,103,113,137,234,122
ML,1,1,3,4,4,4,4,4,4,4,4,17,8,4,0,0,0,0,1,11,0,3,4,3
MH,0,0,0,0,0,0,0,0,0,0,0,0,12,12,25,40,50,63,26,58,90,159,175,167
MR,0,0,0,0,1,4,4,4,4,4,4,4,1,9,2,8,2,3,0,0,0,0,0,0
MU,54,55,59,65,73,97,115,121,106,125,124,146,286,289,366,317,476,498,417,452,507,550,681,578
MX,173,186,210,241,331,330,313,369,280,257,325,419,265,381,372,425,507,525,628,730,861,918,1023,583
FM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
MD,0,0,1,4,4,4,4,4,4,4,4,10,17,7,16,23,53,57,107,168,176,192,187,790
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,13,9,6,7,9,16
ME,0,0,0,0,0,0,0,0,0,0,0,3,11,15,26,16,13,9,10,36,29,45,33,9
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
MA,90,94,106,99,133,142,143,151,171,221,315,313,250,239,214,252,305,337,356,447,400,443,567,235
MZ,9,9,11,12,13,17,21,21,20,23,22,31,30,9,28,21,27,28,59,13,25,27,57,59
MM,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,5,4,4,37,60,75,31,29
NA,4,4,5,6,7,9,10,11,9,11,12,40,27,11,6,22,6,8,4,109,4,5,17,10
NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP,8,9,11,12,12,13,15,22,19,23,21,34,45,41,47,160,208,183,211,120,70,48,319,39
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,9,13
NZ,243,246,263,288,330,411,411,468,597,537,468,424,346,409,389,353,303,324,349,359,534,383,348,175
NI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,2,1,4,1
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,12,16,9,3,0,5,0
NG,39,42,47,56,65,84,90,63,99,115,179,568,582,327,301,641,491,271,272,308,315,263,344,284
