iso2,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CR,94,204,404,616,172,364,495,631,620,575,568,551,297,242,309,229,256,284,291,304,368,333,420,431
CU,81,85,94,107,99,94,112,159,126,164,161,184,159,235,283,278,474,378,322,324,183,148,106,62
CW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,9,21,5,10
DJ,0,0,0,0,0,0,0,1,0,0,1,8,10,4,4,0,0,0,4,5,70,12,20,9
DM,22,17,19,17,17,21,15,15,18,20,11,20,26,25,10,4,4,4,13,4,0,0,0,0
DO,70,62,69,82,81,102,104,118,115,164,169,184,216,194,219,206,225,217,232,300,253,242,198,159
TL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,64,68,59,60,50,52,50,49,62,55,68,112,119,100,144,176,162,138,151,161,179,218,173,186
EG,479,554,526,705,749,802,796,887,925,1226,1188,1429,1428,1355,1301,1091,1174,1221,1058,881,1028,1136,1273,1031
SV,14,11,13,19,11,11,51,12,10,7,16,5,13,7,9,15,14,12,7,24,15,18,19,15
GQ,0,8,0,0,3,7,6,15,16,17,18,12,21,20,258,54,1133,1234,282,129,64,25,39,21
ER,4,4,4,4,4,4,5,5,5,6,6,13,9,9,24,22,10,12,28,9,0,0,1,0
SZ,45,42,34,37,37,38,34,36,35,37,30,42,17,22,15,8,6,14,3,40,10,48,6,34
ET,35,33,29,34,35,44,48,53,48,56,54,62,93,62,127,134,102,68,223,233,425,264,468,437
FK,9,11,23,7,7,5,10,6,4,3,3,1,6,9,12,19,17,9,58,107,11,17,11,7
FO,112,94,90,84,114,107,116,101,102,103,95,104,100,119,151,139,210,196,170,225,217,211,262,421
FJ,67,69,69,75,60,70,72,86,109,119,80,127,107,46,85,44,75,93,43,56,36,37,32,55
PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,19,23,35
TF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,10,7,11,11,11,16,35,19,22,20,19,23,24,20,16,17,96,128,65,88,49,15,8,23
GE,0,3,1,21,5,5,9,15,25,238,160,110,197,205,39,109,44,15,73,39,82,32,41,24
GH,186,210,213,173,212,221,261,258,238,274,282,325,361,377,462,424,547,536,368,636,535,691,548,340
GI,44,71,65,80,90,119,129,129,167,163,179,150,255,317,240,723,589,922,517,799,873,1284,541,539
GL,8,1,1,0,3,1,0,0,0,0,2,0,0,2,21,27,0,0,0,3,3,0,2,0
GD,11,12,13,15,15,16,20,24,23,26,26,46,41,34,68,30,75,77,0,63,23,28,0,0
GU,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,16,18,0,0,0
GT,18,28,28,27,16,19,20,20,18,24,19,30,47,81,55,53,58,58,148,105,98,94,128,160
GG,85,97,107,142,164,204,224,252,227,286,297,308,365,425,494,502,762,821,1489,1263,1736,1736,1852,860
GN,6,7,13,8,8,14,13,15,17,14,15,4,4,1,9,60,4,4,4,4,0,2,0,0
GW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,88,82,88,80,72,62,62,46,53,39,42,82,88,41,50,71,75,70,68,31,70,39,39,32
HT,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,0,1,6,3,7,3
HM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,37,38,30,33,38,24,30,34,31,26,29,44,54,100,62,58,67,71,130,138,140,131,136,118
HK,4831,5021,5807,6847,6822,6588,6423,6765,7490,8494,8907,9118,8647,9576,8907,8475,8814,8285,8263,9047,9482,9826,9914,10806
IS,298,330,349,420,408,407,399,439,463,523,530,535,570,548,534,509,504,665,749,870,1198,839,899,594
IN,2345,2248,2456,2617,3045,3437,3654,3751,4641,5746,6140,7404,8069,9366,9365,9010,8800,9468,9085,9821,11582,12394,14872,11722
ID,1116,1130,1183,1339,1363,1253,1119,1041,974,1167,1157,1324,1352,1510,1426,1426,1343,1320,1279,1519,1386,1449,1461,1182
9A,4,4,6,4,7,3,0,0,0,20,0,0,0,0,0,0,0,0,0,21,29,41,21,74
IR,51,52,51,80,78,50,82,68,58,147,89,134,260,261,396,165,69,95,73,90,74,64,76,36
IQ,40,64,47,48,57,59,70,88,100,117,147,282,294,319,363,523,318,322,256,46,43,70,109,87
IM,24,28,32,41,49,60,66,74,67,84,88,52,31,70,129,53,52,57,76,259,243,250,293,582
IL,1127,1158,1273,1333,1201,1047,1045,1118,1232,1226,1329,1421,1352,1855,2570,2689,2412,1565,1511,1508,1696,1805,1987,2123
CI,68,90,85,86,94,105,118,95,82,91,117,117,194,231,96,166,133,143,172,260,284,208,248,334
JM,217,196,213,242,228,214,251,262,241,315,315,390,483,310,323,315,355,358,409,406,280,376,378,262
JP,10392,11183,11068,12617,11651,10514,10657,10563,11220,10940,10511,11113,8950,10396,11576,11343,10369,10404,10219,12693,14311,15096,15489,12536
JE,339,388,435,566,658,817,900,1009,907,1149,1192,1229,1461,1705,1979,2007,3047,3287,2804,2424,2613,3075,3328,3284
JO,22,30,28,30,25,34,29,30,31,37,50,75,69,86,114,74,91,66,83,98,260,72,88,161
