country,sector,service
india,business (and consumer) services,export_wins
germany,renewable energy : wind : renewable energy: wind: offshore,export_wins
taiwan,"clothing, footwear and fashion",export_wins
germany,"household goods, furniture and furnishings",export_wins
hungary,financial services (including professional services) : banking : commercial banking,export_wins
israel,software and computer services business to business (b2b) : financial applications,export_wins
singapore,electronics and it hardware,export_wins
india,oil and gas,export_wins
united arab emirates,education and training,export_wins
russia,automotive : manufacturing and assembly,export_wins
jordan,food and drink,export_wins
spain,leisure and tourism,export_wins
czechia,creative and media : creative and media wholesaling : musical instruments,export_wins
malaysia,ict,export_wins
bulgaria,security,export_wins
japan,food and drink : food and drink manufacturing,export_wins
kazakhstan,oil and gas,export_wins
germany,retail,export_wins
ireland,financial services (including professional services) : professional services : management consultancy,export_wins
germany,healthcare and medical,export_wins
ireland,advanced engineering,export_wins
united arab emirates,"household goods, furniture and furnishings",export_wins
lithuania,communications,export_wins
china,advanced engineering,export_wins
france,chemicals,export_wins
south africa,financial services (including professional services),export_wins
israel,financial services (including professional services) : professional services,export_wins
australia,"giftware, jewellery and tableware",export_wins
russia,creative and media : media : publishing,export_wins
united arab emirates,creative and media : media,export_wins
united arab emirates,healthcare and medical : healthcare services : dentists,export_wins
poland,environment : waste management,export_wins
saudi arabia,environment,export_wins
kazakhstan,oil and gas,export_wins
thailand,advanced engineering,export_wins
sweden,"giftware, jewellery and tableware",export_wins
poland,advanced engineering,export_wins
spain,"agriculture, horticulture and fisheries",export_wins
india,advanced engineering,export_wins
spain,"agriculture, horticulture and fisheries",export_wins
hong kong,advanced engineering,export_wins
qatar,security,export_wins
germany,electronics and it hardware,export_wins
dominican republic,food and drink : beverages and alcoholic drinks,export_wins
sweden,security,export_wins
slovakia,food and drink : brewing,export_wins
belgium,food and drink,export_wins
hong kong,education and training,export_wins
united arab emirates,"metals, minerals and materials : plastics",export_wins
brazil,oil and gas,export_wins
ireland,advanced engineering,export_wins
hungary,life sciences,export_wins
gibraltar,food and drink,export_wins
france,creative and media,export_wins
taiwan,railways,export_wins
malaysia,education and training,export_wins
france,retail,export_wins
germany,creative and media,export_wins
china,retail,export_wins
germany,healthcare and medical,export_wins
taiwan,healthcare and medical,export_wins
hungary,life sciences,export_wins
germany,food and drink,export_wins
france,retail,export_wins
netherlands,healthcare and medical,export_wins
mongolia,construction,export_wins
germany,"clothing, footwear and fashion",export_wins
china,healthcare and medical : medical consumables,export_wins
russia,"metals, minerals and materials",export_wins
spain,retail,export_wins
pakistan,electronics and it hardware : electronics and it technologies,export_wins
japan,retail,export_wins
japan,biotechnology and pharmaceuticals,export_wins
france,advanced engineering,export_wins
germany,creative and media : creative and media wholesaling : musical instruments,export_wins
lebanon,"household goods, furniture and furnishings",export_wins
iran,mechanical electrical and process engineering,export_wins
denmark,software and computer services business to business (b2b) : healthcare applications,export_wins
bulgaria,retail,export_wins
norway,leisure and tourism,export_wins
australia,creative and media,export_wins
norway,construction,export_wins
south africa,business (and consumer) services,export_wins
poland,automotive : component manufacturing : electronic components,export_wins
portugal,business (and consumer) services,export_wins
thailand,leisure and tourism,export_wins
france,"household goods, furniture and furnishings",export_wins
norway,retail,export_wins
russia,advanced engineering,export_wins
germany,business (and consumer) services,export_wins
vietnam,construction,export_wins
poland,food and drink : beverages and alcoholic drinks,export_wins
canada,leisure and tourism,export_wins
united arab emirates,leisure and tourism,export_wins
