country,sector,service
india,biotechnology and pharmaceuticals,datahub
spain,biotechnology and pharmaceuticals,datahub
france,healthcare and medical,datahub
france,financial services (including professional services),datahub
italy,food and drink,datahub
united states,creative and media : media : advertising,datahub
italy,construction,datahub
france,business (and consumer) services,datahub
france,renewable energy,datahub
germany,"clothing, footwear and fashion",datahub
germany,mechanical electrical and process engineering,datahub
portugal,business (and consumer) services : marketing services,datahub
singapore,railways,datahub
russia,"household goods, furniture and furnishings",datahub
united states,leisure and tourism,datahub
japan,"giftware, jewellery and tableware",datahub
germany,"giftware, jewellery and tableware",datahub
slovenia,security,datahub
united arab emirates,construction,datahub
united states,financial services (including professional services),datahub
mexico,financial services (including professional services),datahub
romania,"textiles, interior textiles and carpets",datahub
russia,education and training,datahub
romania,security,datahub
russia,"giftware, jewellery and tableware",datahub
israel,education and training,datahub
russia,oil and gas,datahub
russia,mechanical electrical and process engineering,datahub
saudi arabia,water,datahub
singapore,financial services (including professional services),datahub
singapore,software and computer services business to business (b2b),datahub
mexico,financial services (including professional services) : insurance,datahub
united states,retail,datahub
netherlands,mechanical electrical and process engineering,datahub
norway,oil and gas,datahub
hong kong,education and training,datahub
hungary,"agriculture, horticulture and fisheries",datahub
brazil,energy,datahub
pakistan,"clothing, footwear and fashion",datahub
india,mechanical electrical and process engineering,datahub
india,mechanical electrical and process engineering,datahub
belgium,software and computer services business to business (b2b),datahub
bangladesh,financial services (including professional services),datahub
germany,energy,datahub
germany,food and drink,datahub
russia,education and training,datahub
sweden,aerospace,datahub
italy,environment : air pollution and noise control,datahub
malaysia,healthcare and medical,datahub
malaysia,construction,datahub
china,healthcare and medical,datahub
united states,security,datahub
switzerland,food and drink,datahub
japan,food and drink,datahub
czechia,healthcare and medical,datahub
russia,creative and media,datahub
canada,defence,datahub
canada,healthcare and medical,datahub
china,"agriculture, horticulture and fisheries",datahub
china,automotive,datahub
china,financial services (including professional services),datahub
china,mechanical electrical and process engineering,datahub
denmark,railways,datahub
nigeria,education and training,datahub
denmark,advanced engineering,datahub
belgium,retail,datahub
china,mechanical electrical and process engineering,datahub
china,biotechnology and pharmaceuticals,datahub
russia,financial services (including professional services),datahub
ukraine,aerospace,datahub
canada,food and drink : beverages and alcoholic drinks,datahub
sweden,biotechnology and pharmaceuticals,datahub
czechia,software and computer services business to business (b2b),datahub
sweden,food and drink,datahub
denmark,renewable energy,datahub
australia,water,datahub
switzerland,power,datahub
denmark,healthcare and medical,datahub
austria,financial services (including professional services),datahub
austria,food and drink,datahub
thailand,water,datahub
united arab emirates,security,datahub
sweden,construction,datahub
belgium,defence,datahub
china,healthcare and medical,datahub
japan,biotechnology and pharmaceuticals,datahub
japan,oil and gas,datahub
denmark,environment,datahub
south korea,healthcare and medical,datahub
ukraine,mechanical electrical and process engineering,datahub
trinidad and tobago,education and training,datahub
taiwan,railways,datahub
taiwan,railways,datahub
united arab emirates,oil and gas,datahub
south africa,food and drink : bakery products,datahub
bosnia and herzegovina,education and training,datahub
united states,aerospace : manufacturing and assembly : space technology,datahub
india,software and computer services business to business (b2b),datahub
kenya,"agriculture, horticulture and fisheries",datahub
india,biotechnology and pharmaceuticals,datahub
egypt,oil and gas,datahub
india,biotechnology and pharmaceuticals,datahub
iraq,education and training,datahub
spain,healthcare and medical,datahub
israel,aerospace,datahub
france,renewable energy,datahub
switzerland,food and drink,datahub
germany,construction,datahub
france,"household goods, furniture and furnishings",datahub
japan,"clothing, footwear and fashion",datahub
france,healthcare and medical,datahub
germany,food and drink,datahub
romania,power : nuclear,datahub
jordan,ict,datahub
russia,"household goods, furniture and furnishings",datahub
united states,leisure and tourism,datahub
united states,financial services (including professional services),datahub
vietnam,financial services (including professional services),datahub
south africa,business (and consumer) services,datahub
ukraine,advanced engineering,datahub
latvia,defence and security,datahub
uganda,metallurgical process plant,datahub
united states,business (and consumer) services,datahub
oman,advanced engineering,datahub
mexico,power,datahub
united states,education and training,datahub
romania,defence,datahub
brazil,business (and consumer) services,datahub
russia,healthcare and medical,datahub
romania,oil and gas,datahub
russia,renewable energy,datahub
russia,automotive,datahub
russia,biotechnology and pharmaceuticals,datahub
russia,creative and media,datahub
mexico,security : cyber security,datahub
saudi arabia,food and drink,datahub
south korea,education and training,datahub
saudi arabia,education and training,datahub
ukraine,"agriculture, horticulture and fisheries",datahub
